"pd_id","pd_code","pd_name_ar","pd_name_en","deleted","insert_date","insert_uid"
"54","54","كريم للحلاقة","Shaving Cream","1","2/6/2014 8:04:22 PM","1"
"55","55","كريم مساج","Massage Cream/ oil","1","2/6/2014 8:04:22 PM","1"
"56","56","كريم اساس","Foundation cream/stick","1","2/6/2014 8:04:22 PM","1"
"57","57","كريم للايدى/جسم","hand/body cream","1","2/6/2014 8:04:22 PM","1"
"58","58","كريم / صنفرة قدم","Foot Creams / Scrubs /gel","1","2/6/2014 8:04:22 PM","1"
"59","59","كريم ازالة الشعر/واكس","Depilation Cream /wax /sweet","1","2/6/2014 8:04:22 PM","1"
"60","60","مرهم","Ointment","1","2/6/2014 8:04:22 PM","1"
"61","61","مرهم للعين","Eye Ointment","1","2/6/2014 8:04:22 PM","1"
"62","62","جيل","Gel","1","2/6/2014 8:04:22 PM","1"
"63","63","جيل للجلد","Skin Gels","1","2/6/2014 8:04:22 PM","1"
"64","64","جل للفم","Oral gel","1","2/6/2014 8:04:22 PM","1"
"65","65","جيل للانف","GEL: Nasal","1","2/6/2014 8:04:22 PM","1"
"66","66","جيل للجسم","Body/Face Gel","1","2/6/2014 8:04:22 PM","1"
"67","67","جيل للشعر","Hair Gel / Mousse","1","2/6/2014 8:04:22 PM","1"
"68","68","جيل للايدى","Hand Gel","1","2/6/2014 8:04:22 PM","1"
"69","69","جيل حلاقة","Shaving Gel","1","2/6/2014 8:04:22 PM","1"
"70","70","فازلين","فازلين","1","2/6/2014 8:04:22 PM","1"
"71","71","لوشن","Lotion","1","2/6/2014 8:04:22 PM","1"
"72","72","لوشن وجه/جسم","Body / Face Lotion","1","2/6/2014 8:04:22 PM","1"
"73","73","لوشن للجلد","Skin Lotions","1","2/6/2014 8:04:22 PM","1"
"74","74","لوشن بعد الحلاقة","After Shave Lotion","1","2/6/2014 8:04:22 PM","1"
"75","75","مس","Paint","1","2/6/2014 8:04:22 PM","1"
"76","76","لبخة","Poultice","1","2/6/2014 8:04:22 PM","1"
"77","77","مروخ","Liniment","1","2/6/2014 8:04:22 PM","1"
"78","78","عناية بالفم و الاسنان","Dental/Oral Products","1","2/6/2014 8:04:22 PM","1"
"79","79","غسول فم","Mouth wash","1","2/6/2014 8:04:22 PM","1"
"80","80","مبيض أسنان","Teeth  Whitener","1","2/6/2014 8:04:22 PM","1"
"81","81","خيط تنظيف اسنان","Dental Floss","1","2/6/2014 8:04:22 PM","1"
"82","82","منظف طاقم أسنان","Dental Cast Cleaner","1","2/6/2014 8:04:22 PM","1"
"83","83","غرغرة","Gargle","1","2/6/2014 8:04:22 PM","1"
"84","84","معجون","معجون","1","2/6/2014 8:04:22 PM","1"
"85","85","فرشاة اسنان","DENTAL BRUSH","1","2/6/2014 8:04:22 PM","1"
"86","86","عناية بالجروح","Wound/Surgical Care","1","2/6/2014 8:04:22 PM","1"
"87","87","قطن","COTTON","1","2/6/2014 8:04:22 PM","1"
"88","88","شاش","GAUZ","1","2/6/2014 8:04:22 PM","1"
"89","89","شاش مع اضافات","Gauze with additives","1","2/6/2014 8:04:22 PM","1"
"90","90","بلاستر","Plaster","1","2/6/2014 8:04:22 PM","1"
"91","91","بلاستر بالشاش","Gauze with plaster","1","2/6/2014 8:04:22 PM","1"
"92","92","بلاستر قدم","Foot Plasters","1","2/6/2014 8:04:22 PM","1"
"93","93","بلاستر متخصص","Specialised Plasters","1","2/6/2014 8:04:22 PM","1"
"94","94","بلاستر / كليبس صرة","Umbilical Clip/plaster","1","2/6/2014 8:04:22 PM","1"
"95","95","لصقة","Patch","1","2/6/2014 8:04:22 PM","1"
"96","96","لزقة مضادة للإلتهاب","Counter Irritant Patches","1","2/6/2014 8:04:22 PM","1"
"97","97","ادوات جراحة","Surgical Devices","1","2/6/2014 8:04:22 PM","1"
"98","98","خيوط جراحية","catgut","1","2/6/2014 8:04:22 PM","1"
"99","99","دعامات للجسم","Body Support Products","1","2/6/2014 8:04:22 PM","1"
"100","100","تدعيم للانكل","Ankle Support","1","2/6/2014 8:04:22 PM","1"
"101","101","دعامة / واقى رياضى","Sports Supports/ Guards","1","2/6/2014 8:04:22 PM","1"
"102","102","اربطه ضاغطه","Fixing Bandage","1","2/6/2014 8:04:22 PM","1"
"103","103","أجهزة / أدوات رياضية","Sport Machines","1","2/6/2014 8:04:22 PM","1"
"104","104","مطهرات","Antiseptic","1","2/6/2014 8:04:22 PM","1"
"105","105","مطهر خارجى","Disinfectants","1","2/6/2014 8:04:22 PM","1"
"106","106","صابون","Soap","1","2/6/2014 8:04:22 PM","1"
"107","107","معطر جو","Air Refreshers","1","2/6/2014 8:04:22 PM","1"
"108","108","مبيد حشرى","Insecticides","1","2/6/2014 8:04:22 PM","1"
